Unnamed: 0,번호,제목,저자,출판사,출판일
,87,Visualization and statistical modeling of financial big data: double-log modeling with skew-symmetric error distributions,"Jimichi, Masayuki; Miyamoto, Daisuke; Saka, Chika; Nagata, Shuichi",Springer Nature,2018
,88,When big data initiatives meet: Data sharing between THANADOS and IsoArcH for early medieval cemeteries in Austria,"Richards, Nina","Elsevier Science B.V., Amsterdam",2023
,89,Big Data doesn't always yield big benefits,unknown,SOURCE MEDIA INC.,2015
,90,Big Data technologies to process spatial and attribute data when designing and operating mine-engineering systems,"Stepanov, Yuri A.; Stepanov, Alexander V.",Taylor & Francis,2019
,91,"Big data, big results: Knowledge discovery in output from large?scale analytics","McCormick, T.H.; Ferrell, R.; Karr, A.F.; Ryan, P.B.","John Wiley & Sons, Ltd",2014
,92,Big Data Challenges in Big Science,"Heiss, Andreas",Springer Nature,2019
,93,Data Mining with Big Data,"Xindong, W.; Xingquan, Z.; Gong-Qing, W.; Wei, D.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2014
,94,Data discretization: taxonomy and big data challenge,"Ramírez‐Gallego, Sergio; García, Salvador; Mouriño‐Talín, Héctor; Martínez‐Rego, David; Bolón‐Canedo, Verónica; Alonso‐Betanzos, Amparo; Benítez, José Manuel; Herrera, Francisco",John Wiley & Sons Ltd,2016
,95,Using data to build a better EM: EM* for big data,"Kurban, H.; Jenne, M.; Dalkilic, M. M.",Springer Science + Business Media,2017
,96,From big data to big analysis: a perspective of geographical conditions monitoring,"Zhai, Liang; Zhang, Na; Hou, Wei; Feng, Zhixian; Qiao, Qinghua; Luo, Minghai",Taylor & Francis,2018
,97,Automated Data Slicing for Model Validation: A Big Data - AI Integration Approach,"Chung, Yeounoh; Kraska, Tim; Polyzotis, Neoklis; Tae, Ki Hyun; Whang, Steven Euijong",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2020
,98,Spatial Data Mining: A Perspective of Big Data,Shuliang Wang; Hanning Yuan,Idea Group Pub,2014
,99,A Detailed Review on the Prominent Compression Methods Used for Reducing the Data Volume of Big Data,"Anuradha, D.; Bhuvaneswari, S.",Springer Science + Business Media,2016
,100,"Themes in data mining, big data, and crime analytics","Oatley, Giles C.",John Wiley & Sons Ltd,2022
,1,A Survey on Data Collection for Machine Learning: A Big Data - AI Integration Perspective,"Roh, Yuji; Heo, Geon; Whang, Steven Euijong",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2021
,2,An overview of online based platforms for sharing and analyzing electrophysiology data from big data perspective,"Chen, Yang; Wang, Zhong‐yi; Yuan, Gang; Huang, Lan",John Wiley & Sons Ltd,2017
,3,Divide and recombine (D&R) data science projects for deep analysis of big data and high computational complexity,"Tung, Wen-wen; Barthur, Ashrith; Bowers, Matthew C.; Song, Yuying; Gerth, John; Cleveland, William S.",Springer Nature,2018
,4,An overview of online based platforms for sharing and analyzing electrophysiology data from big data perspective,"Chen, Yang; Wang, Zhong‐yi; Yuan, Gang; Huang, Lan",John Wiley & Sons Ltd,2017
,5,Haery: A Hadoop Based Query System on Accumulative and High-Dimensional Data Model for Big Data,"Song, Jie; He, Hongyan; Thomas, Richard; Bao, Yubin; Yu, Ge",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2020
,6,The Gamma Matrix to Summarize Dense and Sparse Data Sets for Big Data Analytics,"Ordonez, C.; Zhang, Y.; Cabrera, W.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2016
,7,Big data analytics with swarm intelligence,"Cheng, Shi; Zhang, Qingyu; Qin, Quande",Emerald Group Publishing Limited,2016
,8,"Big data with cloud computing: an insight on the computing environment, mapreduce, and programming frameworks","Fernández, Alberto; del Río, Sara; López, Victoria; Bawakid, Abdullah; del Jesus, María J.; Benítez, José M.; Herrera, Francisco",John Wiley & Sons Ltd,2014
,9,Dynamic Distributed and Parallel Machine Learning algorithms for big data mining processing,"Djafri, Laouni",Emerald Publishing,2021
,10,Big Data acquired by Internet of Things-enabled industrial multichannel wireless sensors networks for active monitoring and control in the smart grid Industry 4.0,"Faheem, Muhammad; Fizza, Ghulam; Ashraf, Muhammad Waqar; Butt, Rizwan Aslam; Ngadi, Md. Asri; Gungor, Vehbi Cagri","Elsevier Science B.V., Amsterdam",2021
,11,Chicken swarm foraging algorithm for big data classification using the deep belief network classifier,"R, Sathyaraj; L, Ramanathan; K, Lavanya; V, Balasubramanian; J, Saira Banu",Emerald Publishing,2020
,12,BIG DATA and fusion,"Zhang, Jixian",Taylor & Francis,2015
,13,Big Data Summarization Using Novel Clustering Algorithm and Semantic Feature Approach,"Kolte, Shilpa G.Bakal, Jagdish W.",IGI Publishing,-
,14,Big Data Improves Care,unknown,SOURCE MEDIA INC.,2015
,15,"Big data and analytics: issues, challenges, and opportunities","Kumar, Akshay",Inderscience,2015
,16,Big data analytics – enabled cyber-physical system: model and applications,"Luo, Shuai; Liu, Hongwei; Qi, Ershi",Emerald Group Publishing Limited,2019
,17,Big data analytics on Apache Spark,"Salloum, S.; Dautov, R.; Chen, X.; Peng, P. X.; Huang, J. Z.",Springer Science + Business Media,2016
,18,Special issue: First International Conference on Big Data and Smart Computing (BigComp2014),"Kim, J.; Kwok, J.; Sumiya, K.; Zhang, B. T.","Elsevier Science B.V., Amsterdam.",2016
,19,Quality Assessment of Peer-Produced Content in Knowledge Repositories Using Big Data and Social Networks: The Case of Implicit Collaboration in Wikipedia,"Velichety, Srikar",ACM SIGMIS,2019
,20,Big data analytics: Machine learning and Bayesian learning perspectives—What is done? What is not?,Shan Suthaharan,"Wiley Periodicals, Inc",2019
,21,Big data analytics in Australian pharmaceutical supply chain,"Ziaee, Maryam",Emerald Group Publishing Limited,2023
,22,Blockchain based Securing Medical Records in Big Data Analytics,"Marichamy, V. Santhana","Elsevier Science B.V., Amsterdam.",2023
,23,Big data processing tools: An experimental performance evaluation,Mário Rodrigues,"Wiley Periodicals, Inc",2019
,24,PROADAPT: Proactive framework for adaptive partitioning for big data warehouses,"Benkrid, Soumia","Elsevier Science B.V., Amsterdam.",2022
,25,Big data analytics for security and criminal investigations,"Pramanik, M.I.; Lau, Raymond Y.K.; Yue, Wei T.; Ye, Yunming; Li, Chunping",John Wiley & Sons Ltd,2017
,26,Big Data in Portfolio Allocation: A New Approach to Successful Portfolio Optimization,Irene Aldridge,Pageant Media Ltd,2019
,27,An analysis of academic librarians competencies and skills for implementation of Big Data analytics in libraries,"Ahmad, Khurshid; JianMing, Zheng; Rafi, Muhammad",Emerald Publishing,2019
,28,Applying big data analytics to support Kansei engineering for hotel service development,"Chen, Mu-Chen; Hsiao, Yu-Hsiang; Chang, Kuo-Chien; Lin, Ming-Ke",Emerald Publishing,2019
,29,Big data analytics for security and criminal investigations,"Pramanik, M.I.; Lau, Raymond Y.K.; Yue, Wei T.; Ye, Yunming; Li, Chunping",John Wiley & Sons Ltd,2017
,30,"Big Data, the Internet of Things, and the Revised Knowledge Pyramid","Jennex,  Murray E.",ACM SIGMIS,2017
,31,Entity deduplication in big data graphs for scholarly communication,"Manghi, Paolo; Atzori, Claudio; De Bonis, Michele; Bardi, Alessia",Emerald Publishing,2020
,32,Big Data Paradigm: What is the Status of Privacy and Security?,"Strang, K. D.; Sun, Z.",Springer Science + Business Media,2017
,33,Big data analytics in single‐cell transcriptomics: Five grand opportunities,"Bhattacharya, Namrata; Nelson, Colleen C.; Ahuja, Gaurav; Sengupta, Debarka",John Wiley & Sons Ltd,2021
,34,Practical Big Data,unknown,SOURCE MEDIA INC.,2014
,35,"Michael Buck talks about living his dream of being a bioinformaticist, and the emerging alternatives to big data warehouses",unknown,SOURCE MEDIA INC.,2012
,36,Olympics Big Data Prognostications,"Jain, ArushiBhatnagar, Vishal",IGI Publishing,-
,37,Tensor-Based Big Data Management Scheme for Dimensionality Reduction Problem in Smart Grid Systems: SDN Perspective,"Kaur, D.; Aujla, G. S.; Kumar, N.; Zomaya, A. Y.; Perera, C.; Ranjan, R.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2018
,38,Exploring Big Data Analysis: Fundamental Scientific Problems,"Xu, Z.; Shi, Y.",Springer Science + Business Media,2015
,39,Managing big data in coal-fired power plants: a business intelligence framework,"Chongwatpol, Jongsawas",Emerald Group Publishing Limited,2016
,40,In-Memory Big Data Management and Processing: A Survey,"Hao, Z.; Gang, C.; Beng, C. O.; Kian-Lee, T.; Meihui, Z.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2015
,41,Analytics Partners Allina Health teams up with Health Catalyst to garner the benefits of big data,unknown,SOURCE MEDIA INC.,2016
,42,The role of big data analytics in enabling green supply chain management: a literature review,"Liu, Jia",Springer Nature,2020
,43,MongoDB-Based Modular Ontology Building for Big Data Integration,"Abbes, H.; Gargouri, F.",Springer,2018
,44,Flexible Heavy Tailed Distributions for Big Data,"Zhang, Y.; Nadarajah, S.",Springer Science + Business Media,2017
,45,How China Deals with Big Data,"Shi, Y.; Shan, Z.; Li, J.; Fang, Y.",Springer Science + Business Media,2017
,46,Smart city big data analytics: An advanced review,Kamran Soomro,"Wiley Periodicals, Inc",2019
,47,Determinants of big data analytics adoption in small and medium-sized enterprises (SMEs),"Maroufkhani, Parisa",Emerald Group Publishing Limited,2022
,48,Cell phone big data to compute mobility scenarios for future smart cities,"Tosi, D.",Springer Science + Business Media,2017
,49,Fuzzy rule based classification systems for big data with MapReduce: granularity analysis,"Fernández, A.; Río, S.; Bawakid, A.; Herrera, F.",Springer Science + Business Media,2017
,50,Semantics-Aware Approaches to Big Data Engineering,"Cuzzocrea, A.; Sellis, T.",Springer,2017
,51,Analysing repeat blood donation behavior via big data,"Chen, Xu; Liu, Lei; Guo, Xinyu",Emerald Group Publishing Limited,2020
,52,Scalable machine‐learning algorithms for big data analytics: a comprehensive review,"Gupta, Preeti; Sharma, Arun; Jindal, Rajni",John Wiley & Sons Ltd,2016
,53,View Materialization Over Big Data,"Kumar, AkshayKumar, T. V. Vijay",IGI Publishing,2021
,54,Efficient Skyline Computation on Big Data,"Xixian, H.; Jianzhong, L.; Donghua, Y.; Jinbao, W.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2013
,55,Application of hyper-convergent platform for big data in exploring regional innovation systems,"Finogeev, Alexey G.; Gamidullaeva, Leyla A.; Vasin, Sergey M.",Inderscience,2020
,56,Stakeholder Perceptions and Word-of-Mouth on CSR Dynamics: A Big Data Analysis from Twitter,Andrée Marie López-Fernández; Zamira Burgos Silva,"Idea Group Pub.,",2018
,57,Incremental Query Processing on Big Data Streams,"Fegaras, L.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2016
,58,MR plot: A big data tool for distinguishing distributions,"Ardakani, Omid M.; Asadi, Majid; Ebrahimi, Nader; Soofi, Ehsan S.","John Wiley & Sons, Ltd",2020
,59,A Framework for Evaluating Design Methodologies for Big Data Warehouses: Measurement of the Design Process,Francesco Di Tria; Ezio Lefons; Filippo Tangorra,Idea Group Pub,2018
,60,Modeling and Evaluating the Effects of Big Data Storage Resource Allocation in Global Scale Cloud Architectures,Enrico Barbierato; Marco Gribaudo; Mauro Iacono,Idea Group Pub,2016
,61,Barriers of embedding big data solutions in smart factories: insights from SAP consultants,"Li, Shuyang; Peng, Guo Chao; Xing, Fei",Emerald Group Publishing Limited,2019
,62,Online updating method to correct for measurement error in big data streams,"Lee, JooChul; Wang, HaiYing; Schifano, Elizabeth D.","Elsevier Science B.V., Amsterdam.",2020
,63,Unlocking causal relations of barriers to big data analytics in manufacturing firms,"Raut, Rakesh; Narwane, Vaibhav; Kumar Mangla, Sachin; Yadav, Vinay Surendra; Narkhede, Balkrishna Eknath; Luthra, Sunil",Emerald Group Publishing Limited,2021
,64,A watchdog approach - name-matching algorithm for big data risk intelligence,"Kirubakaran, Anusuya; Aramudhan, M.",Inderscience,2018
,65,Parallel SLINK for big data,"Goyal, Poonam",Springer Nature,2020
,66,Detection of stragglers and optimal rescheduling of slow running tasks in big data environment using LFCSO-LVQ classifier and enhanced PSO algorithm,"Joshiara, Hetal A.; Thaker, Chirag S.; Shah, Sanjay M.; Choksi, Darshan B.",Inderscience,2022
,67,A High-Level Interactive Query Language for Big Data Analytics Based on a Functional Model,"Monsia, SymphorienFaiz, Sami",IGI Publishing,2020
,68,Distributed subdata selection for big data via sampling-based approach,"Zhang, Haixiang; Wang, HaiYing","Elsevier Science B.V., Amsterdam.",2021
,69,A Holistic View of Big Data,Won Kim; Ok-Ran Jeong; Chulyun Kim,Idea Group Pub,2014
,70,Problems with research methods in medical device big data analytics,"Strang, Kenneth David",Springer Nature,2020
,71,An intelligent approach to Big Data analytics for sustainable retail environment using Apriori-MapReduce framework,"Verma, Neha; Singh, Jatinder",Emerald Group Publishing Limited,2017
,72,Bayesian consensus clustering with LIME for security in big data,"Balamurugan, S.; Thangaraj, M.",Inderscience,2021
,73,Multiple Decisional Query Optimization in Big Data Warehouse,"Rado, RatsimbazafyBoussaid, Omar",IGI Publishing,2018
,74,An analysis of the relation between natural disasters and Big Data,"Velev, Dimiter",Inderscience,2016
,75,Research on the driving mechanism of business model innovation of startups based on big data analysis in the context of digital economy,"Tian, Hua",Inderscience,2023
,76,Telecom fraud detection with big data analytics,"Terzi, Duygu Sinanç; Sağıroğlu, Şeref; Kılınç, Hakan",Inderscience,2021
,77,Responding to market turbulence by big data analytics and mass customization capability,"Sheng, Hongyan; Feng, Taiwen; Chen, Lucheng; Chu, Dianhui",Emerald Group Publishing Limited,2021
,78,The construction of smart city information service system in the era of big data,"Li, Cong",Inderscience,2023
,79,Comparing world regional sustainable supply chain finance using big data analytics: a bibliometric analysis,"Tseng, Ming-Lang; Bui, Tat-Dat; Lim, Ming K.; Tsai, Feng Ming; Tan, Raymond R.",Emerald Group Publishing Limited,2021
,80,Advancing science and technology with big data analytics,"Li, Jia","John Wiley & Sons, Ltd",2018
,81,Exploring the paths to big data analytics implementation success in banking and financial service: an integrated approach,"Hajiheydari, Nastaran; Delgosha, Mohammad Soltani; Wang, Yichuan; Olya, Hossein",Emerald Group Publishing Limited,2021
,82,Supervised compression of big data,"Joseph, V. Roshan; Mak, Simon","John Wiley & Sons, Ltd",2021
,83,An insight into application of big data analytics in healthcare,"Nalluri, Sravani; Sasikala, R.",Inderscience,2020
,84,Predicting the ratings of Amazon products using Big Data,"Woo, Jongwook; Mishra, Monika",John Wiley & Sons Ltd,2021
,85,i$^2$ MapReduce: Incremental MapReduce for Mining Evolving Big Data,"Yanfeng, Z.; Shimin, C.; Qiang, W.; Ge, Y.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2015
,86,An uncertainty measure and fusion rule for conflict evidences of big data via Dempster–Shafer theory,"Dutta, Palash",Taylor & Francis,2018
,87,K Nearest Neighbour Joins for Big Data on MapReduce: A Theoretical and Experimental Analysis,"Song, G.; Rochas, J.; Beze, L. E.; Huet, F.; Magoules, F.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2016
,88,Web Media and Stock Markets : A Survey and Future Directions from a Big Data Perspective,"Li, Q.; Chen, Y.; Wang, J.; Chen, Y.; Chen, H.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2018
,89,Mining Suspicious Tax Evasion Groups in Big Data,"Tian, F.; Lan, T.; Chao, K.; Godwin, N.; Zheng, Q.; Shah, N.; Zhang, F.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2016
,90,A Multi-Step Nonlinear Dimension-Reduction Approach with Applications to Big Data,unknown,IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2019
,91,Distributed Bayesian Matrix Decomposition for Big Data Mining and Clustering,"Zhang, Chihao; Yang, Yang; Zhou, Wei; Zhang, Shihua",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2022
,92,A Privacy-Preserving Distributed Contextual Federated Online Learning Framework with Big Data Support in Social Recommender Systems,"Zhou, Pan; Wang, Kehao; Guo, Linke; Gong, Shimin; Zheng, Bolong",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2021
,93,VA-Store: A Virtual Approximate Store Approach to Supporting Repetitive Big Data in Genome Sequence Analyses,unknown,IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2020
,94,Bias Correction in a Small Sample from Big Data,"Jianguo, L.; Dingding, L.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2013
,95,T-PCCE: Twitter Personality based Communicative Communities Extraction System for Big Data,"Kafeza, Eleanna; Kanavos, Andreas; Makris, Christos; Pispirigos, Georgios; Vikatos, Pantelis",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2020
,96,On the Feasibility of Distributed Kernel Regression for Big Data,"Xu, Chen; Zhang, Yongquan; Li, Runze; Wu, Xindong",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2016
,97,Bit-Oriented Sampling for Aggregation on Big Data,"Hu, Huan; Li, Jianzhong",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2021
,98,Guest Editorial Special Issue on Online Recommendation Using AI and Big Data Techniques,"Chen, Lei",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2023
,99,A Novel Pipeline Approach for Efficient Big Data Broadcasting,"Wu, C.; Ku, C.; Ho, J.; Chen, M.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2016
,100,Enhanced Graph Transforming V2 Algorithm for Non-Simple Graph in Big Data Pre-Processing,"Sutedi, Sutedi",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2020
,1,Security and Privacy Implications on Database Systems in Big Data Era: A Survey,"Samaraweera, G. Dumindu; Chang, J. Morris",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2021
,2,"A Survey on Spark Ecosystem: Big Data Processing Infrastructure, Machine Learning, and Applications","Tang, Shanjiang; He, Bingsheng; Yu, Ce; Li, Yusen; Li, Kun",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2022
,3,A Semi-Automatic Design Methodology for (Big) Data Warehouse Transforming Facts into Dimensions,"Sautot, Lucile; Bimonte, Sandro; Journaux, Ludovic",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2021
,4,A Data-Driven Sequential Localization Framework for Big Telco Data,"Zhu, Fangzhou; Yuan, Mingxuan; Xie, Xike; Wang, Ting; Zhao, Shenglin; Rao, Weixiong; Zeng, Jia",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2021
,5,"Towards Big Linked Data: A Large-Scale, Distributed Semantic Data Storage",Bo Hu; Nuno Carvalho; Takahide Matsutsuka,Idea Group Pub,2013
,6,Effective and efficient distributed management of big clinical data: a framework,"Cuzzocrea, Alfredo; Grasso, Giorgio Mario; Nolich, Massimiliano",Inderscience,2019
,7,A Scalable Multi-Data Sources Based Recursive Approximation Approach for Fast Error Recovery in Big Sensing Data on Cloud,"Yang, Chi; Xu, Xianghua; Ramamohanarao, Kotagiri; Chen, Jinjun",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2020
,8,A Scalable Data Chunk Similarity Based Compression Approach for Efficient Big Sensing Data Processing on Cloud,"Yang, C.; Chen, J.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2017
,9,Extracting Kernel Dataset from Big Sensory Data in Wireless Sensor Networks,"Cheng,  Siyao; Cai,  Zhipeng; Li,  Jianzhong; Gao,  Hong",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2017
,10,Skia: Scalable and Efficient In-Memory Analytics for Big Spatial-Textual Data,"Xu, Yang; Yao, Bin; Wang, Zhi-Jie; Gao, Xiaofeng; Xie, Jiong; Guo, Minyi",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2020
,11,Scalable Algorithms for Nearest-Neighbor Joins on Big Trajectory Data,"Fang,  Yixiang; Cheng,  Reynold; Tang,  Wenbin; Maniu,  Silviu; Yang,  Xuan",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2016
,12,Parallel Fractional Hot-Deck Imputation and Variance Estimation for Big Incomplete Data Curing,"Yang, Yicheng; Kim, Jae Kwang; Cho, In Ho",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2022
,13,Efficient and Distributed Generalized Canonical Correlation Analysis for Big Multiview Data,unknown,IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2019
,14,A memory-free spatial additive mixed modeling for big spatial data,"Murakami, Daisuke",Springer Nature,2020
,15,Vecchia–Laplace approximations of generalized Gaussian processes for big non-Gaussian spatial data,"Zilber, Daniel; Katzfuss, Matthias","Elsevier Science B.V., Amsterdam.",2021
,16,Incremental Factorization of Big Time Series Data with Blind Factor Approximation,"Chen, Dan; Tang, Yunbo; Zhang, Hao; Wang, Lizhe; Li, Xiaoli",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2021
,17,Emulated order identification for models of big time series data,"Wu, Brian; Drignei, Dorin","John Wiley & Sons, Ltd",2021
,18,Handling Big Dimensions in Distrubted Data Warehouses using the DWS Technique,"Costa, M.; Madeira, H.","ACM,",2004
,19,Data access as a big competitive advantage: evidence from China's car-hailing platforms,"Huang, Lei; Zhao, Yandong; He, Guangxi; Lu, Yangxu; Zhang, Juanjuan; Wu, Peiyi",Emerald Publishing,2020
,20,EU data privacy laws face big shake-up,"Mullock, J.",Palgrave Macmillan,2012
,21,"Archeological Data Recovery at Site 41BS908: A 9,000 Year-old Site in the Chisos Basin, Big Bend National Park","Alex, T. C.",CENTER FOR BIG BEND STUDIES SUL ROS STATE UNIVERSITY,1999
,22,"`Big data' and the analytics course Given student expectations and industry demands, it's time to re-frame content to make analytics course big-data friendly","Bell, P.C.",INSTITUTE FOR OPERATIONS RESEARCH AND THE MANAGEMENT,2014
,23,Big-data: transformation from heterogeneous data to semantically-enriched simplified data,"Malik, K. R.",Springer Science + Business Media,2016
,24,Big Data im Labor der Zukunft Big-Data-Anwendungen im Labor - Chancen & Herausforderungen,unknown,VOGEL VERLAG UND DRUCK KG,2016
,25,"Editorial Commentary: ""Mo' Data, Mo' Problems""? ""Big Data"" From National Database Studies in Orthopaedic Research and Concerns Over Generalizability","Saltzman, Bryan M.","Elsevier Science B.V., Amsterdam",2019
,26,Towards efficient data exchange and sharing for big-data driven materials science: metadata and data formats,"Ghiringhelli, Luca",Springer Nature,2017
,27,Working the fields of big data: Using big-data-augmented online ethnography to study candidate–candidate interaction at election time,"Laaksonen, Salla-Maaria; Nelimarkka, Matti; Tuokko, Mari; Marttila, Mari; Kekkonen, Arto; Villi, Mikko",Taylor and Francis,2017
,28,"Oracle Sparc Accelerates Big Data Oracle's recent Sparc processors integrate hardware acceleration for database software, big-data analytics, and security. They also enable compression of in-memory databases",unknown,MICRODESIGN RESOURCES,2016
,29,32.5 ARE YOU READY FOR BIG DATA? GOVERNANCE IN BIG-DATA RESEARCH,"Scheepers, Floortje E.; Deschamps, Peter",Elsevier,2016
,30,32.5 ARE YOU READY FOR BIG DATA? GOVERNANCE IN BIG-DATA RESEARCH,"Scheepers, F. E.; Deschamps, P.",Elsevier,2016
,31,Hazy: Making It Easier to Build and Maintain Big-Data Analytics Racing to unleash the full potential of big data with the latest statistical and machine-learning techniques,"Kumar, A.; Niu, F.; Re, C.",ACM ASSOCIATION FOR COMPUTING MACHINERY,2013
,32,Big-Data Applications in the Government Sector,"Kim, G.-H.; Trimi, S.; Chung, J.-H.",ACM ASSOCIATION FOR COMPUTING MACHINERY,2014
,33,Big-data Feature Screening Using Bregman Divergence,"Cheng, J.; Cheng, Q.; Zargham, M.",United States; CSREA,2011
,34,Big-data-driven framework for intelligent textile manufacturing,"Zhang,  Jie; Lü,  Youlong; Wang,  Junliang; Wang,  Haichao",THE TEXTILE INDUSTRY PRESS,2017
,35,Big-Data-Based Power Battery Recycling for New Energy Vehicles: Information Sharing Platform and Intelligent Transportation Optimization,"Yu, Haijun; Dai, Hongliang; Tian, Guangdong; Xie, Yinghao; Wu, Benben; Zhu, Ying; Li, Hongliang; Wu, Han",IEEE,2020
,36,Big-Data Science: Infrastructure Impact,"Monga, Inder; Prabhat,",INDIAN NATIONAL SCIENCE ACADEMY,2018
,37,Big-data and machine learning to revamp computational toxicology and its use in risk assessment,"Luechtefeld, T.; Rowlands, C.; Hartung, T.",Royal Society of Chemistry,2018
,38,"Big-Data Analysis, Cluster Analysis, and Machine-Learning Approaches","Alonso-Betanzos, Amparo; Bolón-Canedo, Verónica",Kluwer Academic Publishers,2018
,39,Big-data-based edge biomarkers: study on dynamical drug sensitivity and resistance in individuals,"Zeng, T.; Zhang, W.; Yu, X.; Liu, X.; Li, M.; Chen, L.",Oxford University Press,2016
,40,Big-data driven functional interaction patterns and governance strategy for Beijing-Tianjin-Hebei region,"Zheng, Minrui",SCIENCE PRESS,2022
,41,Big-data business models: A critical literature review and multiperspective research framework,"Wiener, Martin; Saunders, Carol; Marabelli, Marco",Palgrave Macmillan,2020
,42,Data Transfer Scheduling for Maximizing Throughput of Big-Data Computing in Cloud Systems,"Xie, R.; Jia, X.",IEEE,2018
,43,BIG-DATA APPROACHES TO PROTEIN STRUCTURE PREDICTION Metagenomics sequence data give protein structure prediction a boost,"Söding,  J.",AMERICAN ASSOCIATION FOR THE ADVANCEMENT OF SCIENCE,2017
,44,Big-Data-Losungen fur Netzbetreiber Siemens und Teradata vereinbaren globale Zusammenarbeit,unknown,VDI VERLAG GMBH,2013
,45,Big-Data Based Online State of Charge Estimation and Energy Consumption Prediction for Electric Vehicles,"Zhang,  Zhiyun; Huang,  Miaohua; Chen,  Yupu; Gao,  Dong",Society of Automotive Engineers,2016
,46,Big-Data and the Question of Horizontal and Vertical Intelligence: A Discussion on Disaster Management,"Benaben,  Frederick; Montarnal,  Aurelie; Fertier,  Audrey; Truptil,  Sebastien",Springer.,2016
,47,Big-data analysis of phase-formation rules in high-entropy alloys,"Zhao, Wan-li; Miao, Ding-hao; Zhang, Yong; He, Zhan-bing","ELSEVIER SCIENCE B.V., AMSTERDAM",2017
,48,Big-data-driven Model Construction and Empirical Analysis of SMEs Credit Assessment in China,"Yadi, LIU","Elsevier Science B.V., Amsterdam",2019
,49,Big-Data Mechanisms and Energy-Policy Design,"Pat,  Ankit; Larson,  Kate; Keshav,  Srinivasen",American Association for Artificial Intelligence,2016
,50,Big-Sensing-Data Curation for the Cloud is Coming: A Promise of Scalable Cloud-Data-Center Mitigation for Next-Generation IoT and Wireless Sensor Networks,"Yang, C.; Puthal, D.; Mohanty, S.; Kougianos, E.",IEEE,2017
,51,Big-data analysis for carbon emission reduction from cars: Towards walkable green smart community,"Yamagata, Yoshiki; Murakami, Daisuke; Wu, Yihan; Yang, Perry Pei-Ju; Yoshida, Takahiro; Binder, Robert","Elsevier Science B.V., Amsterdam",2019
,52,Big-Data Science: Infrastructure Impact,"Monga, Inder; Prabhat,",INDIAN NATIONAL SCIENCE ACADEMY,2018
,53,Big-data for building energy performance: Lessons from assembling a very large national database of building energy use,Paul A. Mathew; Laurel N. Dunn,ELSEVIER,2015
,54,Big-Data and Simulations of Social and Economic Systems-Prospect of Econophysics Study,"Takayasu, H.",JAPAN TECHNICAL INFORMATION SERVICE,2014
,55,Big-data-based technical framework of smart factory,"Lyu,  Youlong; Zhang,  Jie",EDITORIAL DEPARTMENT OF CIMS,2016
,56,"Big-Data - Theoretical, Engineering and Analytics Perspective","Agneeswaran, V.S.",SPRINGER-VERLAG,2012
,57,Big-Data-Based Intelligent Spectrum Sensing for Heterogeneous Spectrum Communications in 5G,"Liu, Xin; Sun, Qingquan; Lu, Weidang; Wu, Celimuge; Ding, Hua",IEEE,2020
